Type,Dichroic
Maker,"OLYMPUS"
ProductName,"DM505(U-MYFPHQ)"
Comment,""
Public,1
wavedataset
300,2.7E-05
301,3.6E-05
302,-8E-06
303,2E-06
304,1E-06
305,-2.5E-05
306,-1.6E-05
307,2.5E-05
308,-1E-05
309,-9E-06
310,-1.3E-05
311,-1E-06
312,5.6E-05
313,3.9E-05
314,9E-06
315,3.6E-05
316,5.5E-05
317,3E-05
318,3.8E-05
319,1E-05
320,0
321,5.6E-05
322,5.8E-05
323,6E-05
324,0.000104
325,0.000239
326,0.000514
327,0.001063
328,0.002323
329,0.005071
330,0.010607
331,0.021316
332,0.040697
333,0.074648
334,0.131455
335,0.220677
336,0.354804
337,0.549833
338,0.82374
339,1.199383
340,1.704641
341,2.35448
342,3.167406
343,4.180171
344,5.367408
345,6.692132
346,8.170642
347,9.744047
348,11.463623
349,13.340414
350,15.496267
351,17.762461
352,20.171669
353,22.64434
354,25.069598
355,27.308888
356,29.556927
357,31.92734
358,34.827386
359,38.225265
360,41.773115
361,44.773561
362,46.715708
363,47.695383
364,48.285136
365,49.703952
366,52.508721
367,56.876417
368,61.534392
369,65.063189
370,66.630035
371,66.236942
372,64.946024
373,64.28493
374,66.056185
375,68.939438
376,72.195393
377,74.502936
378,75.031215
379,73.428038
380,69.75868
381,66.756886
382,66.259799
383,67.370484
384,70.271572
385,73.383247
386,75.252216
387,74.687221
388,71.610139
389,66.248925
390,61.183427
391,57.361545
392,55.88459
393,57.453044
394,60.059402
395,62.444122
396,64.855516
397,65.745135
398,63.271937
399,58.161974
400,52.466539
401,46.602338
402,41.557261
403,38.197481
404,38.056386
405,39.878829
406,41.936868
407,44.364613
408,47.884068
409,50.298669
410,49.675547
411,47.152231
412,44.691518
413,41.802108
414,37.789501
415,34.028862
416,31.705815
417,29.865247
418,28.71243
419,29.065715
420,30.628883
421,31.768291
422,31.599403
423,32.292876
424,35.307775
425,38.066902
426,37.679159
427,33.57199
428,26.912419
429,20.893024
430,16.774714
431,13.077815
432,9.970443
433,11.141
434,15.066899
435,17.857793
436,18.770887
437,19.103695
438,17.848071
439,12.629319
440,7.624387
441,2.135854
442,0.934179
443,0.492901
444,0.296337
445,0.194399
446,0.135101
447,0.098796
448,0.074995
449,0.058925
450,0.047508
451,0.039341
452,0.033296
453,0.028727
454,0.025263
455,0.022641
456,0.020538
457,0.019048
458,0.017821
459,0.016911
460,0.016283
461,0.015881
462,0.015647
463,0.01564
464,0.01576
465,0.01611
466,0.016614
467,0.017316
468,0.018273
469,0.019485
470,0.020888
471,0.022649
472,0.024848
473,0.02756
474,0.030839
475,0.034861
476,0.039881
477,0.046074
478,0.054067
479,0.064054
480,0.076669
481,0.092793
482,0.11363
483,0.14197
484,0.180022
485,0.23163
486,0.302621
487,0.403346
488,0.548492
489,0.759691
490,1.070995
491,1.536659
492,2.255791
493,3.381659
494,5.068193
495,7.475361
496,10.709838
497,14.698175
498,19.217401
499,24.0373
500,29.002618
501,33.935111
